distance_km,restaurant_rating,weather,time_of_day,delivery_speed_kmph,active_orders_queue,restaurant_prep_time_min,traffic_level,area_type,delivery_time_minutes
4.25,4.1,sunny,peak,20.12,19,30,low,suburban,72
10.11,4.4,sunny,off-peak,10.35,6,14,medium,urban,85
5.02,4.6,sunny,peak,36.78,1,7,high,urban,22
8.04,4.3,sunny,off-peak,20.85,17,33,low,urban,83
8.43,4.7,sunny,off-peak,19.93,16,9,high,urban,63
3.18,5.0,sunny,peak,25.7,13,36,low,urban,64
14.56,4.9,cloudy,peak,23.41,19,31,high,urban,104
11.74,4.0,rainy,peak,27.93,16,27,low,urban,82
14.12,3.1,sunny,off-peak,27.87,3,35,medium,urban,73
13.47,2.8,cloudy,peak,17.08,17,17,medium,urban,95
9.17,5.0,sunny,off-peak,30.72,5,23,low,suburban,49
13.87,3.3,sunny,peak,14.52,3,30,medium,suburban,95
1.78,2.6,sunny,off-peak,19.98,15,5,medium,urban,36
3.34,3.5,sunny,off-peak,23.0,10,32,low,urban,57
1.16,4.4,sunny,peak,38.6,11,28,medium,suburban,49
5.22,4.7,rainy,off-peak,29.14,4,13,medium,suburban,38
6.14,3.7,cloudy,off-peak,29.96,14,7,low,urban,43
4.43,3.2,sunny,peak,20.69,18,5,medium,urban,48
12.52,4.4,sunny,peak,20.57,14,30,medium,suburban,91
5.67,3.8,sunny,peak,34.43,9,33,medium,urban,59
4.57,2.7,cloudy,peak,24.42,8,30,high,suburban,60
8.37,4.7,sunny,off-peak,26.3,1,17,high,urban,43
2.54,4.1,rainy,off-peak,11.58,2,12,medium,urban,36
12.13,2.6,rainy,peak,38.32,6,32,medium,urban,68
1.58,2.5,sunny,peak,14.31,3,20,low,urban,32
14.81,2.7,sunny,peak,13.37,6,33,high,suburban,113
11.7,4.6,cloudy,peak,19.99,0,12,low,suburban,50
3.38,3.7,rainy,peak,20.02,19,5,medium,rural,52
0.58,3.3,cloudy,peak,19.9,11,24,medium,suburban,47
12.32,3.1,sunny,off-peak,23.94,12,9,medium,urban,61
10.75,3.8,rainy,peak,34.94,17,37,medium,rural,89
11.07,2.7,cloudy,off-peak,37.2,9,18,medium,urban,54
11.68,4.0,cloudy,off-peak,24.31,6,15,low,rural,56
1.57,3.5,sunny,peak,16.82,12,21,low,suburban,46
5.7,4.6,rainy,off-peak,33.35,16,25,high,suburban,69
2.18,4.4,sunny,peak,21.23,7,26,medium,suburban,46
13.01,2.5,cloudy,peak,17.17,17,27,medium,urban,103
9.54,2.9,cloudy,off-peak,34.57,10,30,low,suburban,65
5.3,3.7,sunny,off-peak,32.03,12,19,medium,urban,50
1.42,4.1,sunny,off-peak,20.05,15,24,high,urban,56
5.01,4.3,rainy,peak,24.24,16,20,medium,suburban,64
5.22,4.5,sunny,off-peak,26.9,12,36,low,urban,67
11.08,2.6,sunny,off-peak,35.26,9,15,medium,urban,50
9.74,2.5,sunny,peak,18.56,5,28,medium,suburban,70
13.36,4.0,sunny,peak,17.32,0,35,low,suburban,82
7.35,4.3,sunny,off-peak,37.24,9,37,medium,urban,65
2.23,4.5,sunny,off-peak,14.85,19,20,high,rural,63
10.84,2.9,cloudy,peak,12.72,13,14,low,urban,88
11.53,4.9,cloudy,peak,32.71,19,29,medium,suburban,84
8.64,3.1,cloudy,off-peak,39.04,5,23,medium,urban,49
11.68,3.1,sunny,peak,27.19,13,25,high,rural,75
7.66,2.9,sunny,off-peak,20.17,12,17,low,urban,59
8.08,2.6,sunny,off-peak,31.0,11,24,high,suburban,61
6.7,4.5,rainy,peak,30.83,3,23,medium,urban,49
0.87,2.5,sunny,peak,24.91,4,5,medium,suburban,16
2.06,3.7,cloudy,off-peak,12.9,6,21,low,suburban,43
0.96,2.7,cloudy,off-peak,10.8,15,27,medium,urban,60
9.73,2.6,sunny,peak,18.5,4,10,medium,urban,51
5.06,4.8,sunny,off-peak,20.56,15,6,low,suburban,44
7.87,4.6,cloudy,peak,28.81,16,9,high,urban,56
13.66,3.5,sunny,peak,32.19,13,10,medium,urban,58
4.11,3.6,rainy,off-peak,35.76,3,39,low,urban,56
6.45,4.7,sunny,peak,23.41,5,5,low,urban,30
11.46,4.5,rainy,off-peak,29.66,17,15,high,suburban,74
3.82,4.2,sunny,off-peak,35.55,7,28,medium,urban,48
1.62,3.8,rainy,off-peak,36.92,7,20,medium,urban,41
4.7,4.0,cloudy,peak,36.19,1,15,medium,suburban,29
2.84,3.5,rainy,off-peak,38.81,9,18,high,urban,46
13.98,3.8,sunny,off-peak,11.83,14,39,low,urban,132
12.22,3.8,sunny,peak,27.7,8,37,high,urban,80
9.68,4.7,cloudy,off-peak,27.08,19,17,medium,suburban,72
13.14,3.0,cloudy,off-peak,36.1,8,16,high,urban,57
12.15,3.1,sunny,off-peak,16.16,14,13,medium,urban,82
3.21,3.0,rainy,peak,19.1,1,37,low,suburban,55
13.44,3.9,cloudy,peak,25.48,9,6,high,urban,58
8.32,4.2,sunny,off-peak,17.58,16,27,high,urban,84
12.21,3.1,sunny,off-peak,31.61,9,16,medium,rural,56
13.49,4.2,sunny,peak,33.41,2,27,low,rural,55
5.11,4.1,cloudy,off-peak,38.28,11,23,medium,urban,53
2.1,3.3,sunny,peak,39.72,2,25,high,suburban,36
3.81,3.1,sunny,off-peak,38.58,12,15,medium,urban,42
6.69,4.7,sunny,off-peak,17.93,0,33,low,urban,56
12.36,3.9,cloudy,peak,18.95,3,7,low,urban,54
12.98,4.3,sunny,off-peak,21.15,1,33,medium,urban,74
0.6,4.8,rainy,peak,14.42,16,18,medium,rural,52
7.91,3.0,rainy,off-peak,10.28,15,27,low,urban,102
6.55,3.4,cloudy,peak,13.91,10,7,medium,suburban,55
3.72,3.6,sunny,off-peak,19.59,18,27,medium,suburban,68
2.24,3.1,rainy,peak,23.15,10,7,medium,rural,36
5.4,4.6,cloudy,peak,18.71,17,30,medium,suburban,78
14.17,2.7,sunny,off-peak,33.38,6,26,low,urban,61
5.19,3.1,sunny,peak,34.33,12,37,medium,urban,67
8.02,3.0,sunny,peak,39.66,0,28,low,urban,41
10.69,4.9,rainy,peak,16.26,5,25,medium,urban,80
5.77,4.1,sunny,peak,21.25,0,14,low,suburban,31
14.59,4.3,rainy,peak,19.25,1,18,medium,rural,73
14.46,2.8,cloudy,peak,22.97,2,34,high,urban,82
4.15,3.0,sunny,peak,38.77,8,24,medium,urban,45
7.71,4.5,rainy,peak,24.34,10,27,high,urban,71
4.86,3.9,sunny,off-peak,13.79,4,21,medium,urban,51
4.63,2.6,sunny,off-peak,10.37,7,31,medium,suburban,71
1.03,3.9,cloudy,off-peak,18.64,8,22,medium,urban,42
9.34,3.7,sunny,peak,12.3,2,14,medium,urban,66
7.79,2.9,rainy,peak,15.95,1,24,low,urban,61
1.25,4.0,rainy,peak,26.84,9,34,medium,urban,58
4.54,2.9,sunny,off-peak,31.94,12,25,medium,urban,55
13.67,4.5,sunny,peak,18.62,5,26,low,urban,79
3.97,4.0,sunny,off-peak,29.27,6,30,medium,urban,50
2.6,4.7,rainy,off-peak,13.3,10,27,medium,suburban,62
7.6,3.6,cloudy,off-peak,21.16,16,27,high,urban,80
14.79,3.8,rainy,peak,37.98,3,19,high,rural,57
4.01,4.4,rainy,off-peak,38.97,18,37,low,urban,76
10.25,3.9,sunny,peak,32.99,11,29,medium,urban,67
11.54,3.9,rainy,off-peak,10.61,12,29,medium,suburban,120
3.95,3.9,rainy,peak,12.07,14,21,medium,urban,70
11.06,3.7,sunny,off-peak,14.13,3,35,medium,suburban,89
5.83,4.5,rainy,peak,20.21,6,22,low,suburban,54
9.67,3.7,cloudy,off-peak,28.62,3,27,medium,suburban,57
9.69,4.8,sunny,off-peak,37.53,16,6,medium,urban,48
8.27,4.5,cloudy,peak,16.74,18,38,medium,urban,100
1.81,4.2,cloudy,off-peak,12.22,15,34,medium,urban,70
12.61,4.7,sunny,peak,34.97,5,37,low,suburban,67
5.15,3.8,cloudy,off-peak,28.45,5,24,high,urban,49
3.2,4.6,sunny,off-peak,29.36,8,20,medium,urban,42
1.09,3.1,rainy,off-peak,28.09,2,23,medium,suburban,36
9.07,2.7,sunny,off-peak,39.1,5,34,low,urban,56
10.32,4.2,sunny,off-peak,13.93,16,27,medium,suburban,98
0.74,3.3,rainy,peak,30.89,6,18,medium,suburban,36
7.93,4.1,cloudy,peak,27.98,1,15,medium,urban,39
3.78,2.7,cloudy,off-peak,10.86,5,17,medium,urban,50
9.86,4.9,cloudy,off-peak,16.7,0,15,medium,urban,55
3.03,3.8,cloudy,peak,35.4,14,15,low,urban,44
10.52,2.5,cloudy,off-peak,31.22,16,34,low,rural,81
6.11,3.7,rainy,peak,12.77,4,22,medium,rural,65
14.08,4.5,cloudy,off-peak,15.38,1,11,medium,urban,72
2.49,4.7,sunny,peak,37.43,16,12,medium,urban,43
5.45,3.7,sunny,off-peak,30.46,16,34,medium,urban,72
2.15,2.8,rainy,peak,35.97,1,11,medium,urban,24
13.91,4.8,sunny,peak,27.41,6,39,low,urban,79
13.22,5.0,sunny,peak,20.61,8,10,medium,urban,63
4.24,2.7,sunny,peak,22.1,12,30,high,urban,65
10.07,2.7,sunny,off-peak,27.52,8,32,medium,urban,69
12.35,3.9,sunny,peak,14.62,15,17,medium,suburban,93
8.55,3.8,sunny,peak,35.49,9,11,medium,suburban,42
8.18,4.0,sunny,off-peak,28.39,10,16,medium,urban,51
4.01,3.3,sunny,peak,26.83,10,10,medium,suburban,37
1.85,2.6,sunny,off-peak,22.72,8,34,medium,urban,54
13.51,4.0,rainy,off-peak,20.39,18,25,medium,urban,100
13.56,2.9,sunny,off-peak,21.9,14,37,medium,urban,98
9.68,3.4,sunny,off-peak,39.79,3,5,high,urban,29
5.42,4.0,rainy,peak,24.91,7,39,high,urban,73
5.56,3.0,rainy,off-peak,25.1,18,19,medium,suburban,67
11.03,3.9,sunny,peak,17.74,10,8,low,suburban,61
13.51,4.3,cloudy,peak,24.22,14,9,medium,suburban,68
13.36,2.7,sunny,off-peak,35.65,4,37,medium,suburban,68
11.81,4.0,sunny,off-peak,17.76,4,20,high,urban,71
9.81,3.8,sunny,off-peak,38.74,11,20,medium,rural,55
1.72,2.7,sunny,off-peak,28.31,16,8,low,urban,37
2.84,4.3,rainy,off-peak,38.57,1,33,low,suburban,45
13.53,3.3,cloudy,off-peak,21.01,1,22,medium,urban,67
9.29,3.0,sunny,peak,25.19,8,20,medium,suburban,57
0.63,3.2,sunny,off-peak,31.5,4,36,medium,urban,46
1.97,3.9,sunny,off-peak,32.14,17,39,high,urban,73
10.12,4.0,sunny,peak,15.62,10,9,low,suburban,64
0.57,2.9,sunny,off-peak,21.21,0,21,low,urban,24
2.83,4.8,sunny,peak,32.53,17,17,medium,suburban,51
8.46,3.3,cloudy,off-peak,16.49,2,8,medium,urban,47
10.53,3.2,sunny,off-peak,18.94,12,17,medium,urban,71
9.95,3.0,rainy,peak,37.24,9,35,high,urban,75
3.75,2.8,sunny,off-peak,14.02,10,8,medium,urban,42
10.83,5.0,sunny,peak,17.71,16,16,low,urban,78
3.94,4.2,sunny,peak,19.18,9,9,high,suburban,40
5.22,4.5,sunny,peak,31.39,4,31,low,urban,48
11.32,3.5,sunny,peak,27.96,5,20,low,suburban,53
9.92,3.5,cloudy,peak,22.46,11,24,high,urban,74
12.81,5.0,sunny,peak,30.53,9,24,medium,urban,66
10.04,3.0,sunny,off-peak,19.93,8,21,low,urban,64
8.74,3.3,cloudy,peak,38.34,2,5,medium,urban,27
1.86,3.0,rainy,peak,38.36,0,25,medium,suburban,36
5.83,3.2,sunny,peak,27.66,12,8,medium,urban,42
4.35,4.2,cloudy,off-peak,29.22,9,10,low,suburban,35
4.04,3.3,rainy,off-peak,19.3,0,28,low,urban,47
14.61,4.7,sunny,off-peak,20.74,9,31,medium,urban,90
6.2,2.6,cloudy,off-peak,11.61,19,24,low,urban,88
13.43,3.4,sunny,off-peak,35.24,17,23,high,suburban,76
9.65,4.7,sunny,peak,17.32,0,10,medium,urban,46
12.02,4.1,rainy,peak,37.43,12,15,low,suburban,58
7.79,4.4,sunny,peak,23.21,3,21,low,urban,47
8.87,3.3,rainy,peak,38.01,4,7,low,urban,33
7.64,3.4,sunny,peak,35.57,19,5,medium,suburban,49
3.33,4.7,sunny,peak,27.9,1,34,low,urban,44
10.98,4.4,sunny,peak,36.14,12,5,low,urban,42
4.57,3.5,sunny,peak,37.69,11,8,low,urban,33
0.85,3.0,cloudy,off-peak,26.85,3,15,low,urban,24
9.86,2.8,cloudy,off-peak,39.72,1,7,medium,urban,28
3.07,4.7,rainy,off-peak,20.28,3,7,high,urban,31
14.14,4.2,sunny,off-peak,18.12,13,17,high,urban,88
14.33,4.0,sunny,off-peak,14.81,3,21,medium,urban,87
13.77,4.4,sunny,off-peak,23.23,1,15,low,urban,53
5.87,4.8,sunny,off-peak,24.98,7,29,low,urban,55
0.72,4.4,sunny,peak,14.23,5,29,low,suburban,41
13.96,3.6,cloudy,off-peak,14.59,1,7,high,urban,73
6.71,2.9,sunny,peak,11.79,0,30,medium,rural,67
14.52,4.3,sunny,peak,10.71,5,30,low,urban,120
14.47,3.1,sunny,off-peak,32.28,19,38,medium,urban,96
12.87,4.5,sunny,off-peak,22.42,10,29,low,urban,79
4.77,3.3,sunny,peak,34.32,16,34,high,rural,71
6.08,2.9,sunny,peak,23.22,19,6,low,suburban,51
12.84,3.1,sunny,peak,35.34,18,18,high,urban,72
5.1,3.2,sunny,off-peak,30.95,8,16,low,rural,39
2.96,3.4,rainy,off-peak,14.21,1,30,medium,suburban,52
8.57,3.1,sunny,off-peak,16.55,10,29,medium,urban,78
14.07,3.1,sunny,off-peak,11.16,7,19,low,rural,106
10.59,3.5,sunny,peak,25.55,14,21,medium,suburban,70
8.77,4.7,sunny,peak,28.66,13,14,high,urban,57
1.91,2.7,sunny,off-peak,14.72,14,35,high,urban,69
9.42,3.2,rainy,off-peak,26.23,6,13,medium,urban,52
14.86,3.9,sunny,peak,35.88,13,39,medium,urban,86
2.53,4.7,rainy,peak,36.52,3,35,low,urban,50
8.02,3.2,sunny,off-peak,16.33,19,19,low,urban,78
13.22,3.4,rainy,peak,20.61,15,21,low,suburban,88
11.24,4.5,rainy,peak,18.34,0,19,high,urban,66
10.61,3.4,sunny,off-peak,31.23,0,7,medium,urban,30
10.69,4.6,cloudy,off-peak,17.1,18,10,high,urban,82
5.71,3.6,cloudy,peak,20.94,10,17,medium,suburban,53
4.76,3.9,sunny,off-peak,28.6,10,34,medium,urban,62
12.24,3.9,rainy,peak,15.83,14,25,medium,urban,100
12.25,2.8,sunny,peak,20.38,3,17,high,urban,63
13.07,3.4,sunny,off-peak,36.29,6,25,high,suburban,61
13.74,3.1,sunny,off-peak,14.24,8,10,low,urban,81
7.91,4.2,sunny,peak,20.19,7,19,medium,suburban,56
7.77,4.8,sunny,off-peak,29.96,1,22,medium,urban,42
12.08,3.0,sunny,peak,27.86,18,28,medium,urban,84
9.92,2.7,sunny,peak,13.53,12,15,low,urban,78
10.68,3.8,cloudy,off-peak,19.87,0,39,medium,suburban,76
12.04,3.5,rainy,off-peak,12.46,0,30,high,urban,98
13.41,2.6,rainy,peak,14.17,16,28,medium,suburban,117
5.4,4.8,sunny,off-peak,11.29,10,21,medium,urban,68
5.95,4.9,sunny,off-peak,36.74,8,9,low,urban,32
1.86,4.6,sunny,peak,18.86,4,33,medium,urban,48
8.89,3.2,cloudy,off-peak,19.67,6,11,low,rural,50
1.02,2.8,sunny,off-peak,29.13,3,18,high,urban,30
7.25,4.0,cloudy,off-peak,14.12,4,19,medium,urban,61
8.37,3.2,rainy,peak,32.1,5,38,medium,urban,69
4.65,3.0,cloudy,peak,12.62,10,24,high,rural,68
9.07,4.1,rainy,peak,30.42,13,14,low,urban,57
0.94,4.4,sunny,off-peak,21.33,19,39,high,suburban,75
1.04,3.8,sunny,off-peak,21.61,19,8,high,suburban,44
12.43,3.3,sunny,off-peak,38.91,12,19,medium,urban,59
5.72,3.8,rainy,off-peak,39.46,17,23,low,suburban,63
2.34,4.0,cloudy,peak,33.91,7,13,low,urban,31
8.07,2.6,sunny,peak,13.29,13,22,high,suburban,83
11.66,3.6,rainy,off-peak,26.49,5,27,low,urban,67
3.63,4.0,cloudy,off-peak,27.61,19,23,medium,urban,64
9.53,2.8,sunny,off-peak,36.79,11,12,high,urban,49
1.74,3.6,sunny,off-peak,33.35,8,9,low,urban,25
1.25,3.4,rainy,off-peak,29.02,6,15,medium,suburban,35
8.2,4.7,sunny,off-peak,17.26,19,29,low,suburban,87
8.34,3.7,sunny,off-peak,18.05,11,9,low,urban,54
9.74,3.6,rainy,peak,13.8,16,38,low,urban,110
11.03,3.1,rainy,peak,38.48,2,34,high,suburban,64
14.65,4.9,sunny,off-peak,32.47,19,10,medium,urban,69
7.99,4.9,sunny,off-peak,15.43,19,15,low,rural,76
5.18,3.4,cloudy,off-peak,33.36,14,32,high,suburban,69
12.03,4.8,sunny,peak,19.13,6,32,low,urban,80
4.43,4.0,cloudy,peak,28.0,7,19,medium,urban,44
6.87,4.5,sunny,off-peak,19.79,7,26,low,suburban,58
1.64,2.7,rainy,peak,37.34,19,39,low,urban,76
0.87,2.6,sunny,peak,20.75,13,9,medium,suburban,34
14.46,3.8,sunny,peak,38.86,18,13,high,urban,67
12.62,2.7,sunny,off-peak,12.71,13,29,low,urban,109
10.59,4.7,cloudy,off-peak,36.55,8,35,medium,urban,69
6.43,4.6,sunny,peak,15.39,16,35,low,urban,85
3.01,4.3,sunny,off-peak,33.13,9,36,low,rural,56
2.77,2.6,sunny,off-peak,14.15,5,30,high,suburban,54
4.13,3.6,sunny,peak,31.84,3,35,high,suburban,52
8.46,2.7,sunny,off-peak,17.15,0,26,medium,urban,59
10.86,4.8,sunny,peak,11.24,0,8,medium,urban,69
10.07,4.0,rainy,peak,14.77,9,23,high,urban,87
4.56,2.9,cloudy,peak,34.5,8,17,medium,urban,42
14.35,3.9,sunny,peak,32.78,10,21,low,urban,63
11.2,2.8,sunny,peak,27.3,13,31,medium,urban,78
8.54,2.9,sunny,off-peak,26.06,16,10,medium,suburban,57
9.37,2.7,sunny,peak,11.42,17,39,low,urban,115
6.58,4.7,sunny,peak,20.6,10,26,medium,urban,63
4.09,3.9,sunny,off-peak,37.09,14,8,low,urban,37
5.66,3.3,sunny,off-peak,22.35,4,34,high,suburban,60
11.49,2.5,sunny,off-peak,29.7,3,27,low,urban,56
0.71,3.7,sunny,peak,26.44,8,37,medium,urban,54
2.18,3.8,rainy,off-peak,37.37,10,18,high,suburban,47
1.17,3.3,rainy,off-peak,12.54,13,20,medium,suburban,53
1.09,3.7,sunny,off-peak,23.48,4,26,low,urban,36
12.9,2.8,cloudy,off-peak,15.96,2,27,medium,urban,83
10.7,4.8,sunny,peak,27.72,3,35,medium,urban,66
7.38,3.1,sunny,peak,21.66,16,31,low,rural,76
1.92,4.9,sunny,off-peak,28.69,15,27,low,urban,55
7.63,3.7,sunny,off-peak,12.14,15,14,medium,urban,77
7.37,4.6,sunny,peak,10.41,10,7,low,urban,65
3.01,3.9,sunny,off-peak,19.62,13,34,low,suburban,64
6.79,4.6,sunny,peak,14.93,9,26,high,suburban,72
6.28,2.5,sunny,peak,13.83,2,33,low,suburban,64
9.43,3.0,sunny,peak,32.62,18,36,medium,urban,83
9.71,3.4,rainy,off-peak,39.56,1,29,high,suburban,55
1.16,3.2,rainy,off-peak,19.88,6,32,high,urban,55
5.93,4.9,sunny,peak,36.67,3,26,low,urban,41
9.57,3.5,sunny,off-peak,22.22,4,17,medium,urban,52
7.8,4.9,rainy,off-peak,37.59,9,28,high,urban,64
12.92,4.1,cloudy,peak,10.45,0,10,medium,urban,89
10.05,4.6,sunny,off-peak,28.68,6,5,medium,urban,38
2.86,3.5,cloudy,off-peak,27.3,18,20,high,urban,60
1.52,3.0,cloudy,peak,31.69,14,34,medium,urban,63
9.82,2.6,sunny,off-peak,12.09,2,26,high,urban,83
0.88,4.1,sunny,off-peak,15.81,11,39,medium,urban,62
8.99,4.9,sunny,off-peak,28.64,16,36,high,urban,84
14.13,2.8,cloudy,peak,17.45,2,14,high,urban,73
8.84,4.4,sunny,off-peak,33.03,18,36,medium,rural,82
6.13,3.4,cloudy,peak,36.77,15,18,low,urban,54
9.83,5.0,sunny,peak,34.59,9,15,medium,urban,49
7.14,4.7,sunny,peak,30.51,9,28,medium,rural,59
8.41,3.1,sunny,peak,23.91,19,20,low,urban,71
14.15,4.4,sunny,off-peak,34.44,4,24,medium,suburban,58
6.1,4.3,sunny,off-peak,37.0,9,5,medium,suburban,31
14.44,4.4,sunny,off-peak,38.49,13,22,high,suburban,69
13.63,2.7,rainy,off-peak,36.53,17,20,high,suburban,78
3.34,4.5,sunny,off-peak,11.89,10,17,low,suburban,50
1.51,3.2,sunny,peak,14.7,14,23,low,urban,51
1.96,4.0,sunny,off-peak,33.5,14,17,low,rural,43
0.76,2.8,sunny,peak,21.37,14,36,low,urban,60
1.87,3.9,sunny,off-peak,18.22,12,32,medium,rural,59
10.4,4.8,sunny,off-peak,18.87,2,34,medium,urban,73
1.53,2.9,sunny,off-peak,10.18,16,16,medium,urban,52
5.13,4.6,rainy,off-peak,32.83,14,9,low,rural,45
12.75,3.6,rainy,peak,17.08,6,7,medium,urban,69
0.84,3.3,sunny,peak,20.22,0,14,medium,urban,19
12.31,2.6,sunny,off-peak,15.22,13,5,low,rural,74
4.59,3.8,cloudy,peak,13.36,14,10,low,rural,55
2.21,3.0,sunny,peak,38.5,1,7,low,urban,13
10.6,4.9,cloudy,off-peak,39.38,1,8,medium,urban,31
9.62,3.1,cloudy,off-peak,24.83,1,12,low,urban,40
13.22,4.0,sunny,off-peak,10.94,2,18,medium,suburban,97
11.16,3.9,sunny,off-peak,11.45,1,5,high,suburban,70
12.15,3.3,cloudy,peak,36.15,2,31,high,rural,61
4.59,4.6,cloudy,peak,26.13,7,10,medium,urban,36
3.07,3.0,cloudy,off-peak,37.86,1,5,low,urban,14
11.38,4.5,cloudy,off-peak,29.7,5,8,low,suburban,41
12.2,3.0,rainy,off-peak,36.98,16,22,high,suburban,76
14.86,2.6,sunny,peak,21.47,10,21,low,suburban,79
6.48,4.9,sunny,peak,12.95,11,34,medium,urban,84
5.89,4.1,sunny,peak,17.02,15,26,high,urban,74
11.76,4.1,sunny,off-peak,23.19,19,10,medium,urban,72
5.44,3.2,sunny,peak,16.72,5,36,medium,rural,66
14.0,2.8,sunny,off-peak,34.52,4,14,medium,urban,47
12.95,4.3,sunny,peak,29.82,8,28,medium,urban,69
6.72,3.8,sunny,peak,34.97,14,35,high,urban,73
11.39,3.3,sunny,off-peak,34.41,13,30,medium,rural,72
11.44,3.3,cloudy,off-peak,34.07,9,5,low,urban,42
2.0,4.7,sunny,off-peak,28.26,7,10,medium,urban,28
13.59,4.7,sunny,off-peak,24.69,7,15,high,urban,64
7.83,3.2,sunny,peak,39.34,7,14,medium,urban,39
12.48,4.5,sunny,peak,10.93,7,11,medium,urban,93
5.14,3.1,sunny,peak,18.17,14,21,high,urban,64
13.49,4.5,cloudy,off-peak,33.4,12,34,medium,urban,81
6.14,2.8,sunny,off-peak,34.57,17,10,low,urban,47
0.66,4.4,sunny,peak,17.18,19,25,medium,urban,59
13.63,3.9,sunny,peak,32.98,15,10,medium,urban,60
1.82,2.8,sunny,off-peak,31.55,4,16,medium,suburban,28
5.13,4.0,sunny,peak,34.34,1,20,medium,urban,33
14.28,3.0,sunny,off-peak,28.86,18,11,medium,urban,71
14.28,3.0,sunny,off-peak,35.6,10,31,medium,suburban,73
8.81,3.6,sunny,peak,31.82,1,17,high,urban,40
9.66,4.9,cloudy,peak,33.14,3,18,medium,suburban,45
7.0,4.7,sunny,peak,12.76,6,32,low,urban,75
4.75,4.6,rainy,off-peak,25.98,5,12,medium,urban,38
5.27,4.6,sunny,peak,29.17,15,20,medium,suburban,56
10.25,3.7,sunny,off-peak,19.56,1,16,medium,urban,52
11.41,3.4,sunny,peak,13.58,17,30,low,urban,107
11.98,4.7,rainy,peak,14.07,2,9,low,suburban,69
11.95,2.7,cloudy,peak,12.64,9,39,medium,urban,114
1.82,5.0,sunny,off-peak,25.96,16,38,low,urban,67
7.67,3.9,sunny,off-peak,13.32,7,13,medium,urban,61
1.33,3.9,sunny,peak,23.65,8,23,medium,suburban,41
8.47,3.2,cloudy,peak,37.99,7,38,medium,suburban,67
6.9,2.9,rainy,off-peak,39.79,6,32,high,urban,61
13.37,4.2,sunny,peak,39.79,3,6,high,suburban,36
5.59,3.4,sunny,peak,22.98,11,30,medium,urban,64
2.2,3.3,sunny,off-peak,36.63,5,7,medium,urban,21
2.57,2.9,sunny,off-peak,30.57,12,34,low,urban,58
11.54,3.8,cloudy,peak,16.82,16,7,low,suburban,75
9.46,4.0,rainy,peak,34.13,15,11,high,rural,60
