services,ride_status,source,destination,duration,ride_id,distance,ride_charge,misc_charge,total_fare,payment_method,datetime
cab premium,completed,Marathahalli Central,Malleshwaram 4th Block,55,RD8060990742063395,22.35,540.1,46.62,586.72,GPay,2024-07-14 20:09:20
bike lite,completed,Varthur,Brigade Road South,59,RD3041692842877308,47.57,983.11,3.43,986.54,GPay,2024-07-07 01:03:20
auto share,completed,Varthur,HSR Layout Sector 10,18,RD3449551462816181,46.39,861.2,31.3,892.5,Paytm,2024-07-06 13:12:20
cab premium,completed,Banashankari 5th Stage,Cubbon Park,112,RD4513927227089348,41.7,979.31,1.03,980.34,QR scan,2024-06-23 03:21:20
auto,completed,HSR Layout North,Brigade Road Bangalore Central,95,RD6554771785038567,23.23,825.69,43.44,869.13,Cash,2024-07-03 23:03:20
auto share,completed,BTM Layout 3rd Stage,Brigade Road Mota Royal Arcade,75,RD6885413641006934,5.71,940.37,18.32,958.69,Paytm,2024-07-16 16:22:20
parcel,completed,Hennur,Jayanagar 6th Block East,37,RD6800012653742400,8.9,881.84,31.58,913.42,Paytm,2024-07-09 21:04:20
cab premium,completed,JP Nagar 7th Phase,Koramangala North,87,RD2825478700055014,28.24,712.58,23.93,736.51,Cash,2024-07-04 21:17:20
cab premium,completed,Brigade Road South,Jayanagar 5th Block,52,RD8397687947118981,2.12,773.77,20.17,793.94,phonePy,2024-07-09 06:15:20
bike lite,completed,MG Road Symphony Theatre,Banashankari 9th Stage,13,RD3205414491274541,26.37,646.53,32.41,678.94,GPay,2024-06-29 01:25:20
parcel,completed,Banashankari 2nd Stage,Banashankari 7th Stage,64,RD2023698783515442,34.79,547.99,7.43,555.42,QR scan,2024-07-11 22:51:20
auto,completed,Brigade Road Church Street,Malleshwaram North,120,RD3668501536121631,38.94,43.53,42.21,85.74,GPay,2024-06-24 09:36:20
auto,completed,HSR Layout Sector 4 North,Brigade Road Richmond Road,73,RD2891374898061466,28.6,405.63,46.08,451.71,phonePy,2024-07-16 14:21:20
auto,completed,KR Puram,Malleshwaram 1st Block,118,RD2542289030295646,49.82,672.19,28.62,700.81,GPay,2024-07-09 10:38:20
auto,completed,Koramangala 8th Block,Shantinagar,31,RD1902644767540989,43.85,460.3,42.9,503.2,Paytm,2024-07-19 17:36:20
parcel,completed,Lavelle Road,HSR Layout Sector 6 South,12,RD8812147581696017,14.03,195.09,12.5,207.59,Paytm,2024-06-24 03:33:20
auto share,completed,Jayanagar 5th Block East,JP Nagar Phase 7,48,RD4048199337500903,14.39,254.33,13.27,267.6,Amazon Pay,2024-07-20 18:58:20
bike lite,completed,Varthur,Brigade Road Richmond Road,16,RD2585194006164485,14.39,290.09,0.78,290.87,Amazon Pay,2024-06-27 12:30:20
parcel,completed,Brigade Road Richmond Road,Jayanagar 3rd Block East,73,RD6075908218823729,25.81,158.15,10.38,168.53,QR scan,2024-06-25 12:07:20
auto share,completed,JP Nagar 5th Phase,Jayanagar 3rd Block,10,RD6435025620306810,30.27,89.89,39.26,129.15,Cash,2024-07-14 18:38:20
parcel,completed,Ulsoor,Majestic,68,RD8293571456553482,2.02,458.03,14.88,472.91,GPay,2024-07-17 08:49:20
bike,completed,Marathahalli,Sadashivanagar,68,RD2617148786710536,23.45,89.3,5.64,94.94,GPay,2024-06-23 01:39:20
auto share,completed,MG Road Anil Kumble Circle,Banashankari 5th Stage,112,RD4438704388822386,5.45,543.82,21.45,565.27,phonePy,2024-07-21 23:36:20
auto,completed,HSR Layout Central,MG Road Cubbon Park,14,RD8003392219200695,7.07,583.62,1.24,584.86,Amazon Pay,2024-07-11 05:21:20
auto,completed,Koramangala Central,Hebbal Sanjay Nagar,20,RD9884768936823403,1.09,781.84,12.02,793.86,Amazon Pay,2024-07-02 19:33:20
auto,completed,HSR Layout Sector 4 North,Vijayanagar,74,RD4343340463328372,27.51,869.62,18.18,887.8,Cash,2024-07-01 18:31:20
bike,completed,Ashok Nagar,HSR Layout Sector 1,7,RD3862156511291074,5.9,989.37,2.42,991.79,GPay,2024-06-23 21:16:20
parcel,completed,Whitefield Borewell Road,BTM Layout 4th Stage,16,RD5149848355376920,36.96,790.37,19.11,809.48,Cash,2024-07-05 20:16:20
bike,completed,JP Nagar 9th Phase,BTM Layout 2nd Stage,13,RD9214178661557421,15.28,757.79,12.68,770.47,Amazon Pay,2024-06-30 10:38:20
cab economy,completed,Indiranagar Central,Benson Town,26,RD5406244976480714,39.01,904.62,43.82,948.44,Cash,2024-07-18 19:58:20
parcel,completed,Whitefield Borewell Road,Banashankari 1st Stage,86,RD6353599790148110,32.58,611.84,45.51,657.35,Paytm,2024-07-20 19:51:20
cab economy,completed,Hebbal Vidyaranyapura,Electronic City West,18,RD7800123365461746,7.39,193.1,3.46,196.56,Paytm,2024-07-18 18:05:20
bike,completed,Palace Guttahalli,Hoskote,100,RD8835703522163227,12.21,728.9,32.03,760.93,QR scan,2024-07-06 21:22:20
auto,completed,HSR Layout Sector 9 South,Whitefield Central,101,RD5355323726317196,28.47,557.05,18.79,575.84,phonePy,2024-07-13 07:28:20
auto,completed,Jayanagar 4th Block,Kadubeesanahalli,59,RD7051264847188668,8.43,991.6,14.53,1006.13,phonePy,2024-07-16 19:39:20
auto share,completed,Jayanagar 4th Block East,Magadi Road,50,RD6949371093253831,25.54,71.67,26.72,98.39,QR scan,2024-07-12 17:12:20
cab economy,completed,Hebbal Amruthahalli,HSR Layout Sector 1,75,RD6650983444982041,36.04,756.99,6.73,763.72,phonePy,2024-07-14 17:24:20
auto share,completed,HSR Layout Sector 6 North,Malleshwaram East,61,RD4457268130515269,39.64,277.71,35.43,313.14,QR scan,2024-07-10 22:35:20
cab premium,completed,Hoskote,Richmond Road,60,RD2936756505015261,36.82,634.7,14.36,649.06,QR scan,2024-06-29 10:22:20
cab premium,completed,MG Road Garuda Mall,Whitefield Immadihalli,39,RD6145512371806371,46.1,647.76,46.83,694.59,phonePy,2024-07-03 19:12:20
auto,completed,JP Nagar Central,Hebbal Kodigehalli,117,RD7329609331733432,11.17,196.37,11.37,207.74,GPay,2024-07-09 04:09:20
cab premium,completed,HSR Layout Sector 4 North,Marathahalli Main Road,54,RD3364550840575004,14.13,581.02,48.3,629.32,phonePy,2024-06-30 06:13:20
auto,completed,Jayanagar 7th Block East,Jayanagar 6th Block East,70,RD5764777076810820,10.04,657.34,40.63,697.97,Cash,2024-06-24 18:11:20
cab economy,completed,Brigade Road Residency Road,HSR Layout Sector 5 South,15,RD2497533296035613,40.53,856.41,5.56,861.97,Amazon Pay,2024-06-27 12:28:20
parcel,completed,BTM Layout 4th Stage,St. Marks Road,18,RD4083806193614910,39.05,767.84,27.45,795.29,Paytm,2024-07-05 02:20:20
cab premium,completed,Lalbagh,HSR Layout Sector 2,89,RD5716404360096097,47.21,341.96,1.34,343.3,phonePy,2024-07-09 11:01:20
auto,completed,Whitefield,Bagmane Tech Park,52,RD2992338701991398,8.98,242.7,4.51,247.21,Amazon Pay,2024-06-23 11:51:20
auto share,completed,Hebbal West,Cunningham Road,25,RD5481834903793502,33.71,376.87,20.89,397.76,QR scan,2024-07-08 13:27:20
parcel,completed,JP Nagar Phase 2,MG Road Central,64,RD7224106538369400,27.38,422.83,29.24,452.07,Cash,2024-07-02 16:33:20
auto share,completed,Brigade Road Eva Mall,Shivajinagar,13,RD7501902011752290,31.17,442.63,41.79,484.42,QR scan,2024-07-22 22:02:20
auto share,completed,Jayanagar 8th Block East,Whitefield,100,RD3777504951598073,3.32,858.68,45.56,904.24,Cash,2024-07-05 14:53:20
auto,completed,Varthur,Nandini Layout,96,RD6344858816647282,11.26,500.32,36.72,537.04,QR scan,2024-07-05 23:10:20
bike lite,completed,Rajajinagar 1st Block,Malleshwaram 10th Block,37,RD4372682966571094,20.9,101.17,20.87,122.04,QR scan,2024-07-07 22:33:20
cab economy,completed,Brigade Road Bangalore Central,Chamarajpet,88,RD4821922823402681,26.61,289.72,45.48,335.2,QR scan,2024-07-11 13:18:20
bike,completed,HSR Layout Central,MG Road Symphony Theatre,27,RD7410093521221256,42.83,105.07,3.23,108.3,QR scan,2024-07-22 11:59:20
cab economy,completed,MG Road,HSR Layout Sector 1,53,RD4495609654225925,4.39,524.61,45.5,570.11,phonePy,2024-07-08 16:55:20
cab economy,completed,Sanjay Nagar,Kammanahalli,52,RD7504862414051662,15.28,842.75,38.21,880.96,phonePy,2024-07-11 14:19:20
cab economy,completed,Residency Road,Marathahalli Outer Ring Road,6,RD3822043378626205,30.53,738.62,3.15,741.77,phonePy,2024-07-09 12:02:20
parcel,completed,Vasanth Nagar,Rajajinagar 7th Block,117,RD9428159391588541,9.98,563.31,11.41,574.72,QR scan,2024-06-30 21:06:20
parcel,completed,Bellandur,Jayanagar 1st Block East,102,RD4677344096984842,44.92,60.27,17.17,77.44,Paytm,2024-07-05 21:21:20
bike,completed,Indiranagar North,HSR Layout Sector 8 North,71,RD6439553034092298,18.63,159.87,34.67,194.54,Cash,2024-07-16 00:42:20
cab economy,completed,HSR Layout Sector 5 North,Commercial Street,99,RD4641420323236781,43.24,790.41,12.89,803.3,QR scan,2024-07-15 00:14:20
parcel,completed,Victoria Layout,Magadi Road,55,RD5273970947623024,22.69,488.61,16.88,505.49,Amazon Pay,2024-06-25 06:12:20
parcel,completed,Victoria Layout,Rajajinagar 6th Block,45,RD1303684197504388,18.96,695.34,26.92,722.26,Paytm,2024-07-10 19:25:20
cab economy,completed,HSR Layout Sector 8 South,Nagarbhavi 2nd Stage,106,RD7598580075936461,7.72,391.92,44.85,436.77,phonePy,2024-06-30 19:05:20
auto,completed,Indiranagar South,Vasanth Nagar,60,RD5490823670023627,27.37,69.32,26.14,95.46,Amazon Pay,2024-07-09 10:06:20
bike lite,completed,HSR Layout Sector 6,Malleshwaram 3rd Block,11,RD8147360144492793,15.38,549.35,41.95,591.3,phonePy,2024-06-25 19:00:20
auto share,completed,BTM Layout,JP Nagar 2nd Phase,18,RD3625182524998145,13.36,70.49,11.18,81.67,Paytm,2024-06-27 10:04:20
cab premium,completed,JP Nagar West,Sadashivanagar,28,RD2299408789889155,7.19,91.18,35.86,127.04,Cash,2024-06-30 20:30:20
cab economy,completed,Indiranagar 4th Stage,MG Road North,54,RD3075510851054626,19.91,531.77,27.38,559.15,Amazon Pay,2024-07-18 20:01:20
bike,completed,Rajajinagar 1st Block,JP Nagar 7th Phase,15,RD9099301899877169,40.38,254.42,47.6,302.02,QR scan,2024-07-12 23:39:20
bike lite,completed,Whitefield ECC Road,HSR Layout Sector 8 North,25,RD7444096829248184,44.52,170.85,4.51,175.36,QR scan,2024-07-08 18:02:20
parcel,completed,Yelahanka,Koramangala 9th Block,71,RD3288225124281612,28.28,401.16,41.25,442.41,phonePy,2024-07-16 15:01:20
cab economy,completed,Indiranagar 7th Stage,KR Puram,107,RD4316332027762841,11.43,835.61,27.66,863.27,Paytm,2024-07-02 00:41:20
bike,completed,Malleshwaram 2nd Block,Electronic City West,56,RD4693888901373021,16.78,841.71,16.53,858.24,Amazon Pay,2024-07-04 01:16:20
cab economy,completed,Electronic City Phase 3,Whitefield Central,49,RD2910974580295357,22.96,898.56,14.94,913.5,Paytm,2024-07-04 12:26:20
bike,completed,Brigade Road Mayo Hall,Brigade Road Garuda Mall,25,RD1208961389701133,41.39,312.81,5.13,317.94,QR scan,2024-07-15 09:42:20
bike lite,completed,Palace Guttahalli,Indiranagar West,87,RD9187139997311707,33.8,693.54,26.58,720.12,Amazon Pay,2024-07-06 22:11:20
cab economy,completed,Malleshwaram 4th Block,Brigade Road Residency Road,98,RD9397910577881031,47.17,576.77,15.47,592.24,Cash,2024-06-24 23:02:20
auto,completed,Banashankari 4th Stage,JP Nagar 1st Phase,34,RD4468193800171229,14.51,719.91,45.68,765.59,Cash,2024-06-29 05:16:20
bike,completed,Koramangala 4th Block,Malleshwaram West,97,RD8513504143187331,48.56,514.38,35.13,549.51,phonePy,2024-06-26 02:02:20
auto,completed,Malleshwaram Central,Rajajinagar 4th Block,41,RD3430488202187228,18.48,959.76,46.89,1006.65,phonePy,2024-06-27 11:40:20
bike lite,completed,HSR Layout West,Whitefield Channasandra,69,RD8769312537354525,36.42,44.3,27.65,71.95,phonePy,2024-07-16 19:34:20
auto,completed,JP Nagar 4th Phase,Whitefield Varthur Road,28,RD5896671140854566,34.28,803.83,31.95,835.78,Amazon Pay,2024-07-15 18:04:20
bike lite,completed,JP Nagar Phase 4,MG Road Mayo Hall,91,RD1221315901508916,48.34,647.49,32.8,680.29,Amazon Pay,2024-06-26 02:46:20
bike lite,completed,MG Road Trinity Circle,Koramangala 7th Block,99,RD6960084305902835,10.24,270.86,49.34,320.2,Paytm,2024-07-07 21:11:20
cab economy,completed,Whitefield South,JP Nagar,109,RD4657850565464409,28.24,580.15,27.37,607.52,GPay,2024-07-01 15:35:20
parcel,completed,Banashankari 10th Stage,Bagmane Tech Park,24,RD4227515846611300,16.28,830.44,20.73,851.17,Amazon Pay,2024-07-21 01:37:20
cab premium,completed,MG Road Mayo Hall,Brigade Road Richmond Road,114,RD4991215289188932,28.23,960.96,36.17,997.13,phonePy,2024-07-15 08:13:20
auto,completed,MG Road Naga Theatre,Palace Road,94,RD3388390881054121,39.15,651.13,32.64,683.77,QR scan,2024-07-14 07:44:20
parcel,completed,Shivajinagar,Jayanagar 9th Block East,68,RD8743868152733705,22.04,947.66,39.28,986.94,Amazon Pay,2024-07-14 23:08:20
bike lite,completed,JP Nagar 4th Phase,Indiranagar 7th Stage,10,RD3570253657570167,20.32,189.86,32.8,222.66,GPay,2024-07-09 08:19:20
auto share,completed,Koramangala,Jayanagar 3rd Block,37,RD3894596629232946,2.21,131.63,9.47,141.1,phonePy,2024-07-18 13:51:20
parcel,completed,Jayanagar 1st Block East,Jayanagar 1st Block,100,RD8021808053432061,40.55,624.31,0.99,625.3,QR scan,2024-06-26 06:32:20
auto share,completed,Marathahalli North,Banashankari 10th Stage,78,RD5153616417160741,2.08,631.64,28.81,660.45,QR scan,2024-06-23 03:50:20
parcel,completed,BTM Layout 1st Stage,MG Road Mayo Hall,64,RD2316379108392263,13.14,45.28,42.26,87.54,Cash,2024-07-13 22:29:20
cab economy,completed,HSR Layout Sector 8,Banashankari 10th Stage,54,RD2247170884968525,33.99,999.7,10.36,1010.06,Paytm,2024-07-18 04:22:20
cab economy,completed,HSR Layout Sector 3 South,JP Nagar Central,106,RD3645262411534690,2.51,745.95,26.08,772.03,phonePy,2024-06-26 20:48:20
cab premium,completed,Indiranagar East,MG Road Central,89,RD9034204225333946,17.8,337.74,26.55,364.29,QR scan,2024-06-25 06:51:20
auto,completed,HSR Layout Sector 4 South,Hebbal Amruthahalli,59,RD4694146919977827,5.98,421.81,25.7,447.51,QR scan,2024-06-24 02:19:20
cab premium,completed,Brigade Road Mayo Hall,Jayanagar 6th Block,71,RD3343382601478736,12.44,836.74,25.54,862.28,GPay,2024-07-08 06:21:20
cab economy,completed,Electronic City Phase 1,Indiranagar 1st Stage,67,RD8620905674405049,15.25,637.61,40.06,677.67,Amazon Pay,2024-07-13 12:28:20
auto share,completed,Nagarbhavi 2nd Stage,Richmond Road,54,RD4486947768363670,30.32,53.81,39.3,93.11,Cash,2024-07-06 18:20:20
parcel,completed,JP Nagar 3rd Phase,HSR Layout Sector 3 South,65,RD5185932189692610,44.91,980.2,33.73,1013.93,QR scan,2024-07-01 18:33:20
bike,completed,Indiranagar South,St. Marks Road,88,RD2407567688099050,15.7,962.76,8.08,970.84,phonePy,2024-06-25 12:27:20
auto,completed,Malleshwaram,HSR Layout Sector 6 South,23,RD9343845140789488,16.1,848.03,22.95,870.98,Cash,2024-07-02 17:55:20
auto share,completed,Electronic City Phase 2,Electronic City,14,RD6477099941773191,22.18,646.28,12.5,658.78,Amazon Pay,2024-06-28 19:21:20
auto,completed,Brigade Road Garuda Mall,JP Nagar 8th Phase,32,RD7756688162809070,35.31,719.33,7.4,726.73,QR scan,2024-07-05 15:01:20
cab premium,completed,Yelahanka,Yelahanka Old Town,87,RD7109551992061069,33.18,298.86,34.43,333.29,Paytm,2024-07-08 08:29:20
cab premium,completed,JP Nagar Phase 10,Jayanagar,13,RD5498790773821915,19.3,129.56,17.65,147.21,phonePy,2024-07-13 05:43:20
parcel,completed,MG Road Naga Theatre,MG Road Commercial Street,32,RD3984525837650730,47.82,936.91,23.44,960.35,QR scan,2024-06-29 11:36:20
bike lite,completed,HSR Layout West,Whitefield,10,RD3123008523946129,12.9,208.56,11.8,220.36,GPay,2024-07-17 09:59:20
cab premium,completed,MG Road Garuda Mall,Domlur,17,RD6523836029463911,17.65,372.56,0.81,373.37,Cash,2024-06-23 13:48:20
bike,completed,Indiranagar 3rd Stage,Jayanagar 6th Block,18,RD2561848263183428,35.53,723.64,21.01,744.65,QR scan,2024-06-29 03:20:20
parcel,completed,Marathahalli West,Koramangala 8th Block,75,RD6766531739347480,30.25,151.02,40.93,191.95,Cash,2024-07-22 06:07:20
bike lite,completed,Whitefield West,Bannerghatta Road,118,RD5738157573778365,36.19,559.89,30.97,590.86,phonePy,2024-07-20 02:55:20
cab premium,completed,Koramangala South,Rajajinagar 5th Block,31,RD7929618920891853,8.29,829.14,13.54,842.68,Paytm,2024-07-13 19:03:20
cab economy,completed,Nayandahalli,Whitefield Channasandra,104,RD6573060988185638,22.98,891.74,46.65,938.39,Cash,2024-07-10 04:17:20
bike,completed,Cox Town,MG Road East,70,RD9131137194811340,10.86,954.42,16.36,970.78,Amazon Pay,2024-06-23 04:16:20
bike,completed,Banashankari 4th Stage,Nagarbhavi 2nd Stage,117,RD4947338196707217,49.64,205.37,5.79,211.16,Paytm,2024-07-15 22:50:20
auto share,completed,Jayanagar 4th Block,Koramangala Central,64,RD9943413733229153,20.36,445.88,3.79,449.67,Paytm,2024-06-26 05:35:20
parcel,completed,JP Nagar Phase 5,Panathur,78,RD5337133440038918,45.03,519.63,31.0,550.63,QR scan,2024-07-09 21:15:20
parcel,completed,Nayandahalli,Varthur,44,RD3122300890763811,6.84,418.7,2.54,421.24,Paytm,2024-07-03 07:46:20
cab premium,completed,Koramangala,Residency Road,87,RD3907604681567894,43.39,267.02,10.38,277.4,Cash,2024-06-30 03:55:20
auto share,completed,JP Nagar 2nd Phase,Bellandur,93,RD4076005266009716,15.33,639.06,25.08,664.14,phonePy,2024-06-29 20:12:20
auto share,completed,Nandi Hills,Whitefield East,117,RD6983471384538413,47.15,110.33,18.71,129.04,Amazon Pay,2024-06-28 14:27:20
auto share,completed,Sahakar Nagar,Whitefield Immadihalli,36,RD2366098357069188,49.14,959.34,10.36,969.7,Amazon Pay,2024-07-06 11:45:20
bike,completed,HSR Layout South,JP Nagar 7th Phase,92,RD2239203538614917,34.5,203.97,29.66,233.63,GPay,2024-07-01 17:40:20
auto share,completed,Kammanahalli,Koramangala,104,RD4372529718226781,20.83,264.17,40.99,305.16,QR scan,2024-07-16 15:47:20
cab economy,completed,Bannerghatta Road,JP Nagar 6th Phase,109,RD7180170185426186,34.32,341.29,8.35,349.64,GPay,2024-07-13 20:44:20
bike,completed,Tumkur Road,Indiranagar 2nd Stage,63,RD4629245751297949,36.79,553.65,30.84,584.49,Paytm,2024-06-23 18:23:20
auto share,completed,Brigade Road Mota Royal Arcade,Jayanagar 2nd Block,36,RD4582562441358088,44.24,238.14,42.76,280.9,Paytm,2024-07-11 16:36:20
cab premium,completed,Malleshwaram West,HSR Layout Sector 5 North,43,RD8512565828763746,3.7,727.94,5.0,732.94,Paytm,2024-07-15 08:36:20
parcel,completed,Marathahalli Outer Ring Road,Jayanagar 9th Block East,45,RD9573278706408853,39.87,525.61,7.81,533.42,phonePy,2024-07-10 03:49:20
bike,completed,Frazer Town,Malleshwaram 5th Block,56,RD2580506538228178,46.37,269.85,41.62,311.47,QR scan,2024-07-11 09:15:20
bike,completed,Ganganagar,Brigade Road West,56,RD3683447193667738,33.1,483.51,4.27,487.78,Cash,2024-06-27 01:49:20
auto share,completed,Jayanagar 3rd Block,Banashankari 7th Stage,44,RD8507808439742651,2.11,559.22,36.48,595.7,Cash,2024-07-19 22:47:20
parcel,completed,HSR Layout South,Mathikere,118,RD1410948817936125,2.76,899.93,45.42,945.35,Amazon Pay,2024-07-04 04:18:20
bike,completed,Tumkur Road,HSR Layout East,98,RD2510798104365719,10.05,16.91,7.87,24.78,Amazon Pay,2024-07-08 03:38:20
bike lite,completed,Shantinagar,Malleshwaram Central,100,RD6566699810303390,10.77,366.34,11.81,378.15,QR scan,2024-07-10 13:28:20
cab economy,completed,Indiranagar 5th Stage,Vasanth Nagar,47,RD3812560584108580,6.0,277.37,29.86,307.23,phonePy,2024-06-29 03:21:20
cab premium,completed,Malleshwaram Central,Whitefield North,27,RD9091067544857669,48.15,932.88,44.59,977.47,Paytm,2024-06-30 17:53:20
cab economy,completed,Indiranagar South,Wilson Garden,31,RD1149904253011861,14.94,375.59,39.26,414.85,Amazon Pay,2024-06-28 06:15:20
auto,completed,Malleshwaram 1st Block,Yelahanka,84,RD7979875551940125,23.68,496.99,26.13,523.12,GPay,2024-07-06 12:14:20
auto,completed,HSR Layout Sector 2,Vijayanagar,117,RD7096687241239855,37.05,830.86,0.6,831.46,Amazon Pay,2024-07-20 22:56:20
auto share,completed,Sahakar Nagar,Yelahanka New Town,117,RD6479842507951781,49.61,979.82,27.16,1006.98,Cash,2024-07-01 09:34:20
bike lite,completed,RT Nagar,HAL,6,RD7924471331593525,35.92,541.61,28.93,570.54,Amazon Pay,2024-06-23 19:52:20
bike lite,completed,Electronic City Central,BTM Layout 2nd Stage,76,RD8412969550452425,40.12,665.76,12.25,678.01,QR scan,2024-07-10 23:48:20
parcel,completed,HSR Layout West,HSR Layout Sector 6 North,98,RD6564854319651014,3.72,292.99,16.19,309.18,GPay,2024-07-20 21:53:20
bike lite,completed,Whitefield Varthur Road,Kadubeesanahalli,8,RD5439114586194759,8.14,433.18,21.49,454.67,GPay,2024-07-07 15:52:20
cab economy,completed,Marathahalli Central,Malleshwaram 7th Block,101,RD9660112071964077,30.09,194.5,44.25,238.75,Cash,2024-07-07 18:23:20
cab premium,completed,Whitefield ECC Road,Doddanekundi,44,RD3908878936985854,49.1,812.73,29.7,842.43,Amazon Pay,2024-07-18 06:31:20
parcel,completed,Jayanagar 4th Block East,HSR Layout Sector 5,105,RD7232376544520682,18.92,653.87,33.96,687.83,Cash,2024-07-06 02:09:20
bike,completed,Malleshwaram West,Basavanagudi,51,RD8806958909706491,23.43,127.92,8.86,136.78,GPay,2024-07-05 19:37:20
bike lite,completed,BTM Layout 2nd Stage,Mysore Road,85,RD6683570772762251,9.45,263.71,26.15,289.86,Amazon Pay,2024-07-04 17:51:20
bike,completed,Shivajinagar,JP Nagar,14,RD1224336960663907,23.83,15.89,3.85,19.74,Cash,2024-07-23 02:47:20
cab economy,completed,Banashankari 4th Stage,Electronic City Phase 1,40,RD5935153538697007,48.22,103.21,0.59,103.8,Amazon Pay,2024-07-06 02:10:20
auto,completed,Koramangala Central,HSR Layout Sector 7 South,118,RD7821873401565657,22.02,64.97,33.58,98.55,Amazon Pay,2024-06-23 00:04:20
parcel,completed,HSR Layout Sector 5 South,JP Nagar West,40,RD4095863094571999,6.93,667.62,1.01,668.63,QR scan,2024-07-08 02:22:20
bike,completed,Indiranagar,Koramangala 4th Block,101,RD6738549720652738,30.79,374.9,26.01,400.91,Cash,2024-06-23 04:17:20
cab economy,completed,RT Nagar,MG Road Cubbon Park,48,RD2508502807682369,48.18,168.84,22.23,191.07,Amazon Pay,2024-07-18 19:48:20
cab economy,completed,HSR Layout Sector 2,Ashok Nagar,97,RD2249699213942794,12.36,445.66,4.87,450.53,Paytm,2024-07-06 01:45:20
auto share,completed,MG Road,Koramangala North,89,RD4422954852558262,27.6,597.65,29.06,626.71,phonePy,2024-06-26 23:20:20
bike lite,completed,Mathikere,Bellandur,61,RD4751270559054725,25.53,557.9,22.91,580.81,Cash,2024-07-23 08:47:20
bike lite,completed,Whitefield North,Electronic City East,74,RD6643606333515603,20.76,644.41,14.51,658.92,phonePy,2024-06-24 06:17:20
cab economy,completed,Vignan Nagar,Kundalahalli,62,RD7316090836261923,21.97,367.6,25.05,392.65,Amazon Pay,2024-07-13 07:45:20
bike lite,completed,Palace Guttahalli,JP Nagar Phase 6,101,RD1725875920358128,32.74,593.39,12.16,605.55,GPay,2024-06-23 15:35:20
auto share,completed,Jayanagar 1st Block,Electronic City,40,RD2726124278320342,12.47,891.11,21.69,912.8,Paytm,2024-07-05 00:15:20
cab premium,completed,Wilson Garden,JP Nagar 1st Phase,114,RD4431136902104304,8.2,117.47,36.41,153.88,QR scan,2024-07-01 08:53:20
cab premium,completed,Seshadripuram,Malleshwaram 4th Block,73,RD6770066172300279,11.66,767.09,3.63,770.72,GPay,2024-07-02 17:30:20
